player_id,player_name,season,game_date,pts,min,fg_pct,home,opponent_id,opp_def_rating,injury_flag
203507,Giannis Antetokounmpo,2021-22,"Nov 09, 2021",31,36.0,0.462,0,1610612755,110.2,0
203507,Giannis Antetokounmpo,2021-22,"Nov 10, 2021",15,38.0,0.333,0,1610612752,110.2,0
203507,Giannis Antetokounmpo,2021-22,"Nov 14, 2021",26,34.0,0.429,0,1610612737,113.7,0
203507,Giannis Antetokounmpo,2021-22,"Nov 17, 2021",47,36.0,0.783,1,1610612747,112.8,0
203507,Giannis Antetokounmpo,2021-22,"Nov 19, 2021",21,36.0,0.375,1,1610612760,111.7,0
203507,Giannis Antetokounmpo,2021-22,"Nov 20, 2021",32,30.0,0.5,1,1610612753,112.1,0
203507,Giannis Antetokounmpo,2021-22,"Nov 22, 2021",12,24.0,0.333,1,1610612753,112.1,0
203507,Giannis Antetokounmpo,2021-22,"Nov 24, 2021",33,31.0,0.706,1,1610612765,113.3,0
203507,Giannis Antetokounmpo,2021-22,"Nov 26, 2021",24,30.0,0.769,0,1610612743,111.5,0
203507,Giannis Antetokounmpo,2021-22,"Nov 28, 2021",26,33.0,0.667,0,1610612754,115.5,0
203507,Giannis Antetokounmpo,2021-22,"Oct 19, 2021",32,31.0,0.48,1,1610612751,112.3,0
203507,Giannis Antetokounmpo,2021-22,"Oct 21, 2021",15,23.0,0.364,0,1610612748,108.4,0
203507,Giannis Antetokounmpo,2021-22,"Oct 23, 2021",21,30.0,0.467,0,1610612759,111.7,0
203507,Giannis Antetokounmpo,2021-22,"Oct 25, 2021",30,36.0,0.556,0,1610612754,115.5,0
203507,Giannis Antetokounmpo,2021-22,"Oct 27, 2021",40,35.0,0.652,1,1610612750,111.0,0
203507,Giannis Antetokounmpo,2021-22,"Oct 30, 2021",28,34.0,0.611,1,1610612759,111.7,0
203507,Giannis Antetokounmpo,2021-22,"Oct 31, 2021",25,35.0,0.5,1,1610612762,110.0,0
1630163,LaMelo Ball,2021-22,"Apr 02, 2022",13,28.0,0.417,0,1610612755,110.2,0
1630163,LaMelo Ball,2021-22,"Apr 05, 2022",18,34.0,0.538,0,1610612748,108.4,0
1630163,LaMelo Ball,2021-22,"Apr 07, 2022",26,35.0,0.476,1,1610612753,112.1,0
1630163,LaMelo Ball,2021-22,"Apr 08, 2022",24,29.0,0.5,0,1610612741,113.2,0
1630163,LaMelo Ball,2021-22,"Apr 10, 2022",24,29.0,0.5,1,1610612764,113.6,0
1630163,LaMelo Ball,2021-22,"Dec 01, 2021",36,41.0,0.545,0,1610612749,111.1,0
1630163,LaMelo Ball,2021-22,"Dec 17, 2021",27,29.0,0.647,0,1610612757,116.3,0
1630163,LaMelo Ball,2021-22,"Dec 19, 2021",9,25.0,0.167,0,1610612756,106.8,0
1630163,LaMelo Ball,2021-22,"Dec 20, 2021",21,33.0,0.4,0,1610612762,110.0,0
1630163,LaMelo Ball,2021-22,"Dec 23, 2021",16,25.0,0.455,0,1610612743,111.5,0
1630163,LaMelo Ball,2021-22,"Dec 27, 2021",16,25.0,0.5,1,1610612745,116.4,0
1630163,LaMelo Ball,2021-22,"Dec 29, 2021",21,34.0,0.615,0,1610612754,115.5,0
1630163,LaMelo Ball,2021-22,"Feb 02, 2022",38,39.0,0.5,0,1610612738,106.2,0
1630163,LaMelo Ball,2021-22,"Feb 04, 2022",15,32.0,0.357,1,1610612739,108.9,0
